1,15610,3380.25,4045.718,20950,5705,5442.678
2,9780,3574.5,3295.176,20950,6776.5,6059.459
3,17710,4909.25,4700.511,21860,8548,5499.071
4,17570,5987.75,5143.796,38210,9525.5,6655.133
5,20910,6890,5814.902,35120,10355.5,7547.411
6,26420,6276.25,5752.392,34670,12451,7805.874
7,17360,7858,4827.291,39820,14926,9099.576
8,29790,9211.5,5404.81,32010,15252.5,7233.357
9,38490,10716.25,6958.646,33590,15847,7447.838
10,40270,12406,6296.347,37730,16568.75,7512.152
11,30410,13851.75,5435.574,29590,16357.25,5476.579
12,26930,15280,4665.061,37390,19031,7584.525
13,31690,16899.5,7013.674,41050,21189.75,7304.065
14,32090,18279.25,6229.986,36820,22468.25,7281.623
15,38550,17579.25,6973.594,38990,22118.75,7772.829
16,38540,20299.5,6848.899,38070,23668.25,7786.123
17,35520,20943.25,7162.072,39130,26748.5,7772.5
18,37840,21045,6202.446,37880,24809,6612.735
19,36420,22970.75,7566.658,40720,26390.25,7032.426
20,39170,22246.75,6748.732,48670,26146.25,8149.654
21,39220,24373.5,7471.727,37620,26286,6284.117
22,37610,24190.75,7424.419,40960,25829,7356.643
23,37640,22918.75,7034.409,39400,27053.75,7238.749
24,36990,23485.5,6965.027,36830,26987.75,6447.122
25,38940,26172.25,7489.563,56940,29180.25,9628.247
26,38920,24725.75,6778.303,55500,30140.25,12551.287
27,39870,24710,7209.222,50100,30104.5,10385.641
28,41650,25024.25,5592.084,49600,28035.75,9355.864
29,38260,22959.75,6657.492,49190,26005.5,10837.18
30,38980,24746.25,8171.927,50460,29043.5,10201.923
31,49820,26336.5,8935.56,58670,31298,10831.806
32,40370,26455.25,8478.658,49350,30252.5,10476.446
33,39680,26669.5,7538.798,50060,31979.5,10135.519
34,41360,26462.5,8190.426,51250,32428,11759.325
35,48130,25247.5,8781.894,49770,34846.5,10503.732
36,42420,26320.75,8858.334,50710,33236,10752.983
37,42790,26653,8673.525,49440,31139,11153.251
38,40410,28505.5,7873.783,50070,34762,9465.538
39,40330,28305.75,7829.049,50380,33473.5,11948.794
40,40300,28383,8106.568,57810,35592,10875.306
41,41720,26946.25,8047.987,59860,34367.25,11777.517
